Date,City,Country,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,AQI
2023-02-23,Beijing,China,131.7,158.42,8.74,37.89,1.31,115.14,-4.64,88.87,19.02,190.34
2023-11-08,Moscow,Russia,18.34,163.69,50.85,11.18,7.12,27.35,-0.29,65.34,14.07,105.3
2023-10-13,Bangkok,Thailand,33.5,174.42,49.88,42.9,1.21,28.63,-7.42,12.47,6.75,110.61
2023-09-22,Istanbul,Turkey,38.65,127.39,5.08,24.76,5.48,77.23,25.0,41.36,1.39,108.76
2023-05-02,Paris,France,87.19,142.66,29.56,35.8,5.57,151.49,3.87,94.17,14.93,167.36
2023-10-20,Paris,France,35.35,165.24,20.61,15.66,9.75,177.03,32.01,78.34,7.34,106.07
2023-01-24,Madrid,Spain,102.82,85.63,38.69,4.25,9.58,197.58,17.56,87.18,2.35,175.43
2023-04-10,Seoul,South Korea,104.33,153.11,81.25,22.3,3.62,14.42,27.58,37.83,13.97,176.21
2023-07-27,Bangkok,Thailand,149.23,26.16,84.13,7.25,9.78,171.08,10.76,88.12,16.63,199.4
2023-09-28,Bangkok,Thailand,30.92,183.46,9.34,39.45,8.33,154.91,35.5,64.19,6.02,115.09
2023-01-04,Tokyo,Japan,97.71,154.57,28.39,12.47,6.26,82.73,34.91,74.74,9.81,172.79
2023-02-04,New York,USA,38.13,125.27,49.98,20.44,9.58,45.64,0.03,96.88,0.62,107.48
2023-07-25,Tokyo,Japan,5.33,72.08,66.03,5.41,4.89,29.47,12.19,93.05,9.42,63.81
2023-10-25,Paris,France,135.8,106.32,99.08,8.29,7.39,148.67,14.64,45.63,13.39,192.46
2023-07-21,Sydney,Australia,93.42,53.4,25.78,2.75,9.71,193.81,17.22,73.77,18.59,170.58
2023-10-17,Bangkok,Thailand,28.04,96.98,92.82,38.55,7.41,160.8,21.3,76.57,17.85,92.35
2023-04-07,Istanbul,Turkey,73.93,196.27,38.76,21.06,4.42,16.68,-9.81,23.6,16.42,160.52
2023-10-15,Cairo,Egypt,85.35,194.29,30.19,20.46,5.27,60.34,8.66,41.05,2.64,166.41
2023-09-08,Istanbul,Turkey,64.59,36.78,37.54,27.83,7.13,87.53,5.55,17.38,19.47,155.69
2023-07-27,Mexico City,Mexico,98.29,15.22,54.17,28.12,9.08,61.05,27.7,15.55,5.19,173.09
2023-04-10,Tokyo,Japan,66.96,115.57,86.04,13.67,7.27,186.95,3.11,57.92,10.66,156.92
2023-07-08,Sydney,Australia,92.58,57.13,75.66,28.82,4.26,85.35,31.85,58.14,12.36,170.15
2023-05-22,Istanbul,Turkey,46.14,127.03,16.5,35.56,3.15,68.71,15.94,19.53,18.61,127.2
2023-07-12,New York,USA,15.3,87.64,44.88,33.47,6.04,60.23,30.3,58.12,11.89,67.16
2023-05-25,Moscow,Russia,52.27,124.02,65.83,22.24,1.4,177.46,29.81,47.93,9.78,142.29
2023-12-17,Madrid,Spain,5.43,117.6,57.74,18.65,4.77,15.3,6.65,50.21,6.84,81.98
2023-03-10,Mumbai,India,61.19,133.55,45.37,3.17,7.45,157.87,15.96,12.73,5.97,153.94
2023-08-19,Seoul,South Korea,139.25,126.87,86.97,5.66,6.44,64.36,-8.81,34.55,16.85,194.24
2023-03-22,Paris,France,7.88,179.61,25.82,16.48,0.38,140.35,38.77,94.47,17.58,113.18
2023-12-07,Paris,France,119.82,31.1,74.92,48.35,9.85,58.45,-4.2,69.27,11.98,184.21
2023-12-25,Tokyo,Japan,27.86,53.14,16.42,18.9,0.67,43.53,21.53,50.67,15.88,84.14
2023-06-28,Mexico City,Mexico,105.76,168.43,90.57,25.61,4.43,139.48,14.64,87.09,5.53,176.95
2023-04-14,Sydney,Australia,115.64,172.17,55.73,9.47,7.72,90.94,-0.96,58.15,11.86,182.05
2023-07-25,Cairo,Egypt,40.15,40.31,89.38,31.21,5.7,166.95,10.49,28.95,19.11,112.45
2023-06-03,Istanbul,Turkey,149.44,180.13,10.58,18.13,7.25,34.21,16.82,68.56,13.07,199.5
2023-01-19,Sydney,Australia,119.75,158.85,73.36,5.31,6.59,182.6,22.62,51.79,15.94,184.17
2023-02-15,London,UK,63.77,164.04,61.23,44.08,3.64,139.6,9.22,83.81,13.85,155.27
2023-01-28,Los Angeles,USA,56.45,197.14,47.67,25.59,6.95,128.42,4.09,79.08,4.55,151.49
2023-09-16,Johannesburg,South Africa,147.85,184.34,90.33,34.93,2.81,191.45,-1.92,65.22,15.48,198.68
2023-08-20,Bangkok,Thailand,17.32,174.08,21.2,31.46,9.59,129.39,16.07,90.98,7.97,110.44
2023-12-10,Seoul,South Korea,149.0,139.87,88.1,8.37,0.74,126.89,-9.94,65.66,15.05,199.28
2023-03-07,Mumbai,India,44.88,109.63,30.39,33.57,0.91,24.53,-0.91,69.05,6.7,124.1
2023-11-03,Berlin,Germany,32.54,191.18,88.43,48.14,2.06,90.53,-4.76,51.22,5.82,118.91
2023-09-23,New York,USA,60.56,98.74,6.12,1.47,4.7,112.58,9.45,42.0,8.63,153.61
2023-08-06,Beijing,China,144.25,198.47,37.02,27.8,8.05,188.46,-7.3,88.27,9.51,196.82
2023-07-17,Sydney,Australia,100.75,180.99,33.31,2.72,6.53,181.98,30.45,26.01,5.37,174.36
2023-03-11,Moscow,Russia,147.92,130.07,37.36,49.32,9.76,198.12,4.06,28.93,1.45,198.72
2023-11-26,Moscow,Russia,44.07,143.62,8.41,32.58,0.69,167.68,39.35,53.95,4.56,122.1
2023-09-17,Seoul,South Korea,23.72,98.09,93.92,41.53,3.19,84.63,39.52,75.44,19.05,93.52
2023-07-08,Mumbai,India,146.24,120.67,18.37,35.61,9.73,37.56,16.32,90.15,8.25,197.85
2023-09-03,Seoul,South Korea,108.45,150.62,26.54,33.42,3.66,26.07,-8.85,28.52,7.85,178.34
2023-11-19,Bangkok,Thailand,47.3,115.36,96.27,45.78,5.94,136.51,9.71,91.72,14.2,130.06
2023-03-28,Bangkok,Thailand,46.18,115.97,7.16,41.11,4.39,54.55,19.12,58.59,18.79,127.3
2023-06-27,Bangkok,Thailand,91.22,16.53,45.47,1.98,3.33,180.42,30.28,31.38,2.45,169.44
2023-04-17,Paris,France,96.15,143.66,37.07,48.12,2.75,114.27,21.32,97.34,11.93,171.99
2023-07-27,London,UK,74.12,165.06,67.31,4.35,9.75,160.82,-5.04,62.47,13.01,160.61
2023-02-20,Istanbul,Turkey,136.8,79.67,95.66,43.06,7.59,66.31,22.92,20.95,12.07,192.98
2023-05-20,Bangkok,Thailand,46.87,85.91,48.88,26.65,5.12,35.72,9.1,51.56,4.25,129.0
2023-06-16,Mumbai,India,86.86,133.32,13.71,19.43,1.2,192.09,31.91,92.32,7.1,167.19
2023-11-09,Istanbul,Turkey,140.07,71.45,80.47,5.46,6.37,90.47,-5.08,24.34,13.1,194.67
2023-02-07,Tokyo,Japan,22.22,56.72,41.68,44.7,5.27,75.64,4.04,70.45,17.51,72.28
2023-11-25,Moscow,Russia,37.62,173.27,45.23,25.78,4.01,170.19,0.79,66.0,10.26,110.04
2023-09-17,Los Angeles,USA,11.87,49.96,53.24,19.98,4.85,27.41,29.0,65.48,3.96,54.5
2023-01-10,London,UK,30.29,65.24,16.42,33.92,8.19,15.21,3.95,80.75,18.76,89.25
2023-09-18,Seoul,South Korea,35.97,194.32,97.44,5.26,6.86,171.56,6.43,18.85,4.7,120.46
2023-11-09,Los Angeles,USA,53.58,178.1,44.73,45.81,4.15,56.29,1.48,35.7,1.97,145.52
2023-10-09,Sydney,Australia,18.33,75.96,39.22,22.43,2.3,38.0,-8.93,84.33,10.12,64.1
2023-12-02,Madrid,Spain,90.34,75.47,11.94,7.51,6.2,23.35,-3.25,13.32,4.77,168.99
2023-03-15,Tokyo,Japan,68.31,92.94,8.85,10.94,7.23,194.73,5.0,89.71,13.35,157.61
2023-10-05,Mexico City,Mexico,58.41,80.64,49.62,33.35,6.5,141.94,9.87,13.65,16.94,152.5
2023-01-18,Mexico City,Mexico,95.78,70.38,76.57,2.27,0.6,70.32,0.36,39.06,3.76,171.8
2023-10-10,Mexico City,Mexico,77.47,63.93,30.11,8.77,0.78,167.48,29.74,45.6,11.98,162.34
2023-11-16,Berlin,Germany,37.74,44.57,84.78,36.96,3.73,161.47,-6.01,32.0,17.7,106.52
2023-02-18,Cairo,Egypt,26.27,49.59,63.71,44.13,4.12,191.72,16.17,79.97,12.37,80.8
2023-07-19,Sydney,Australia,31.19,105.71,82.01,27.22,4.82,171.15,26.62,93.26,3.07,91.15
2023-06-28,Dubai,UAE,65.49,187.02,49.6,35.24,2.67,193.55,22.67,26.2,11.65,156.16
2023-03-20,Mumbai,India,33.88,10.08,99.45,43.33,0.44,185.44,12.67,66.53,6.49,99.41
2023-06-25,Cairo,Egypt,81.51,50.54,42.17,46.42,1.57,40.51,-0.01,56.53,3.05,164.43
2023-01-13,Berlin,Germany,149.47,194.56,41.29,30.76,6.26,48.64,18.81,83.44,1.71,199.52
2023-11-04,Mexico City,Mexico,121.88,175.85,94.39,46.76,6.43,37.44,6.21,95.96,9.48,185.27
2023-10-23,Berlin,Germany,124.21,25.44,21.92,10.54,7.85,157.12,-3.0,53.03,19.77,186.48
2023-03-12,Mumbai,India,125.39,157.84,32.6,32.9,2.45,72.43,-2.17,95.59,14.33,187.09
2023-07-13,Cairo,Egypt,82.34,98.01,95.29,2.59,5.32,55.54,33.87,35.22,11.06,164.86
2023-05-11,Los Angeles,USA,46.0,112.36,7.27,17.16,7.3,106.29,39.92,91.95,7.77,126.85
2023-09-01,Toronto,Canada,39.2,113.91,18.9,33.56,6.69,50.95,-2.97,60.69,12.84,110.11
2023-04-20,Johannesburg,South Africa,100.88,163.55,51.79,14.75,4.83,187.68,11.29,75.53,2.1,174.43
2023-11-18,Mumbai,India,127.33,144.58,26.3,17.99,2.81,70.79,18.24,29.63,15.07,188.09
2023-10-22,Mumbai,India,21.98,59.46,45.18,4.1,1.95,127.85,-1.38,42.69,9.24,71.78
2023-02-06,New York,USA,55.01,84.72,37.67,49.89,7.95,50.49,35.65,11.92,17.56,149.04
2023-10-21,Johannesburg,South Africa,96.51,141.7,99.81,17.0,5.57,48.16,23.82,71.03,5.0,172.17
2023-05-28,Johannesburg,South Africa,119.25,45.93,76.0,32.53,8.52,167.4,21.03,51.16,5.31,183.92
2023-02-13,Paris,France,24.59,195.41,68.86,45.98,0.96,47.6,-0.24,49.97,7.74,121.0
2023-01-19,Bangkok,Thailand,49.04,189.65,52.44,6.0,5.05,150.13,3.07,68.66,6.76,134.34
2023-01-26,London,UK,145.01,59.27,42.57,34.85,5.51,192.61,24.15,18.76,18.6,197.22
2023-12-09,Mexico City,Mexico,5.59,179.17,17.13,31.63,4.26,16.17,27.39,17.15,9.31,112.96
2023-11-11,Sydney,Australia,94.9,95.95,79.98,33.15,1.73,87.8,13.58,16.95,8.38,171.34
2023-04-11,Istanbul,Turkey,27.1,64.02,61.27,12.47,4.0,11.21,2.26,72.68,11.38,82.55
2023-12-01,Sydney,Australia,71.48,160.99,6.99,42.96,1.07,37.0,17.07,72.69,15.31,159.25
2023-06-25,Rio de Janeiro,Brazil,57.56,16.92,7.02,49.84,0.48,160.73,37.91,18.11,7.66,152.06
2023-06-12,Cairo,Egypt,90.43,167.02,20.42,46.57,5.7,49.52,32.94,48.62,16.88,169.04
2023-09-05,Madrid,Spain,53.34,30.58,30.89,7.8,9.04,157.86,18.83,72.92,13.34,144.93
2023-10-02,Mumbai,India,149.38,106.41,32.81,23.98,7.57,149.98,8.09,73.26,9.45,199.47
2023-11-12,Istanbul,Turkey,67.0,26.56,81.95,20.27,6.11,142.76,12.49,50.66,9.88,156.94
2023-06-23,Mexico City,Mexico,138.42,35.5,68.85,26.63,4.9,95.2,13.67,59.35,17.82,193.81
2023-07-04,Mexico City,Mexico,21.15,49.87,76.0,41.42,5.8,114.67,29.0,29.87,18.7,74.43
2023-07-11,Madrid,Spain,82.77,126.2,22.69,40.27,0.85,39.05,3.09,88.85,18.53,165.08
2023-08-05,Rio de Janeiro,Brazil,48.72,72.3,16.84,38.67,4.34,39.47,9.25,94.06,1.0,133.55
2023-10-08,Mumbai,India,132.49,69.42,57.34,29.33,5.5,154.02,-9.29,70.72,10.83,190.75
2023-01-25,Tokyo,Japan,26.53,185.16,14.64,48.23,1.4,110.66,14.88,26.6,6.8,115.93
2023-04-02,Bangkok,Thailand,63.69,89.79,18.92,28.85,3.17,92.89,23.25,43.07,6.36,155.23
2023-11-18,Toronto,Canada,31.15,79.33,9.04,13.23,5.21,178.3,13.28,62.21,11.44,91.06
2023-02-05,Cairo,Egypt,59.08,128.52,8.28,28.29,2.28,74.53,38.13,17.71,17.26,152.85
2023-09-12,Los Angeles,USA,134.3,156.6,23.38,33.11,8.94,196.7,33.66,52.79,3.58,191.69
2023-01-04,Moscow,Russia,15.15,26.73,91.83,8.29,8.38,153.99,5.66,57.56,4.1,91.3
2023-05-22,Cairo,Egypt,14.66,106.62,5.74,32.9,2.82,43.13,1.95,99.74,18.76,76.55
2023-05-19,Dubai,UAE,48.52,159.52,71.15,40.12,4.97,54.48,-4.23,62.32,3.5,133.06
2023-08-20,Toronto,Canada,19.07,168.11,15.2,11.63,5.92,156.68,29.9,39.88,15.73,107.49
2023-05-01,Rio de Janeiro,Brazil,41.28,53.89,65.45,13.36,2.6,59.57,22.77,59.95,2.24,115.23
2023-12-26,Los Angeles,USA,13.38,22.54,7.68,43.09,3.29,76.11,29.55,57.98,5.39,59.91
2023-12-27,Berlin,Germany,82.27,38.71,49.78,3.98,6.4,128.14,-5.7,73.98,19.33,164.82
2023-06-24,Beijing,China,110.41,113.79,18.41,9.52,9.05,78.58,27.71,65.17,12.68,179.35
2023-10-19,Tokyo,Japan,89.21,140.62,70.11,17.35,8.33,71.98,-5.89,71.6,14.27,168.41
2023-03-16,Toronto,Canada,121.33,188.22,57.7,24.13,8.53,81.91,25.81,34.25,8.89,184.99
2023-09-28,Toronto,Canada,57.68,73.08,45.05,1.07,0.78,115.07,-7.93,35.63,13.51,152.13
2023-03-21,Toronto,Canada,90.69,18.43,67.94,44.3,1.02,111.91,6.05,66.5,6.9,169.17
2023-01-16,Dubai,UAE,57.19,26.5,13.4,37.33,2.94,71.35,3.27,72.66,9.52,151.87
2023-06-22,Moscow,Russia,56.9,125.97,18.77,43.52,0.47,23.72,12.88,79.25,9.31,151.72
2023-06-09,Berlin,Germany,130.17,111.53,41.9,33.89,6.69,115.47,38.93,33.24,1.16,189.55
2023-11-26,Istanbul,Turkey,51.02,166.48,41.77,40.19,6.71,12.51,16.75,68.29,7.57,139.22
2023-10-26,New York,USA,80.39,190.31,10.45,21.87,5.06,99.18,4.31,61.49,4.37,163.85
2023-05-17,Sydney,Australia,8.37,178.13,47.49,39.2,6.33,28.35,23.23,70.43,16.04,112.45
2023-03-02,Paris,France,86.46,134.85,12.05,26.31,3.22,154.22,12.27,25.98,2.98,166.99
2023-04-01,Beijing,China,118.37,142.9,21.36,48.53,5.05,56.47,28.23,70.48,12.47,183.46
2023-01-03,Tokyo,Japan,62.77,130.07,69.29,24.78,0.55,32.57,31.35,87.15,16.16,154.75
2023-02-12,Tokyo,Japan,9.42,89.26,19.36,24.84,1.45,85.94,37.11,77.35,17.74,67.96
2023-01-02,Tokyo,Japan,69.71,152.53,18.41,37.49,5.28,31.45,2.72,47.11,8.31,158.34
2023-02-08,Mexico City,Mexico,147.31,191.53,76.74,21.16,2.09,130.2,-6.8,57.29,13.23,198.4
2023-07-17,Moscow,Russia,135.18,161.94,83.88,39.08,3.04,144.03,39.1,29.31,11.81,192.14
2023-02-02,Paris,France,148.92,82.08,93.04,27.17,2.24,58.3,14.67,10.1,11.32,199.24
2023-04-06,Madrid,Spain,67.16,49.35,64.19,12.89,1.09,173.74,2.21,85.59,7.39,157.02
2023-12-11,Los Angeles,USA,130.45,184.31,77.08,5.48,1.7,83.38,8.01,12.84,9.47,189.7
2023-03-26,Istanbul,Turkey,141.07,180.87,64.77,36.89,5.19,99.49,20.56,59.9,13.73,195.18
2023-06-16,Sydney,Australia,138.56,58.93,91.74,5.05,7.4,98.61,34.46,29.35,6.99,193.89
2023-02-22,Paris,France,78.1,90.39,21.28,40.62,1.7,59.0,0.87,34.21,18.7,162.67
2023-08-22,Rio de Janeiro,Brazil,148.11,186.11,61.6,7.94,0.32,144.96,2.71,46.94,2.5,198.82
2023-04-17,Berlin,Germany,33.26,85.2,68.16,48.63,5.94,194.49,9.15,48.35,15.57,95.5
2023-03-27,Paris,France,95.48,49.58,80.9,28.51,5.59,151.44,-7.48,63.39,11.72,171.64
2023-09-01,Istanbul,Turkey,20.37,159.92,30.59,45.4,4.91,72.99,39.57,94.78,16.01,103.44
2023-01-09,Los Angeles,USA,92.58,177.42,85.53,22.79,3.87,114.02,-5.89,71.0,13.48,170.15
2023-02-18,Toronto,Canada,75.7,37.03,68.14,40.83,1.94,51.66,14.41,41.65,3.04,161.43
2023-01-02,Mumbai,India,55.02,127.64,68.08,16.35,8.98,190.86,25.35,73.83,19.22,149.06
2023-01-28,Paris,France,19.89,82.45,73.21,5.16,2.95,45.6,19.26,99.13,0.86,71.46
2023-11-21,Tokyo,Japan,133.79,128.98,20.63,43.09,8.82,189.29,33.89,95.3,7.74,191.42
2023-05-06,Bangkok,Thailand,109.77,49.05,55.1,23.39,3.6,183.13,22.44,63.19,3.98,179.02
2023-03-03,Toronto,Canada,98.76,148.4,82.02,34.1,7.44,137.29,8.72,86.56,7.36,173.34
2023-05-01,Rio de Janeiro,Brazil,38.59,74.96,84.13,20.76,0.85,132.92,35.89,41.12,13.34,108.61
2023-01-21,Toronto,Canada,79.71,29.11,35.91,29.18,3.19,195.92,33.43,69.79,16.04,163.5
2023-05-15,Paris,France,88.36,84.03,82.78,10.09,7.61,70.79,0.29,47.01,15.93,167.97
2023-09-12,Beijing,China,120.46,82.61,29.98,5.28,4.71,47.56,-3.33,31.34,11.63,184.54
2023-08-24,Paris,France,108.24,42.74,90.6,34.08,1.07,56.18,8.61,48.15,5.33,178.23
2023-10-14,Rio de Janeiro,Brazil,129.46,72.45,97.56,17.8,4.1,52.09,32.0,31.96,1.12,189.19
2023-02-23,Beijing,China,112.42,180.93,27.48,1.94,6.38,179.17,13.87,51.59,12.07,180.39
2023-10-01,Los Angeles,USA,49.39,114.29,59.27,21.62,4.66,108.21,27.92,65.76,2.89,135.2
2023-10-15,Tokyo,Japan,24.4,57.5,85.06,41.03,4.71,146.13,10.34,25.24,19.28,84.09
2023-01-03,Istanbul,Turkey,110.03,61.43,6.22,43.0,7.13,144.42,29.1,98.96,14.64,179.16
2023-06-07,Moscow,Russia,21.78,169.1,68.93,9.1,4.18,38.6,29.56,97.0,12.24,107.98
2023-11-24,Johannesburg,South Africa,139.05,170.42,12.54,28.58,9.58,38.67,26.94,14.97,17.96,194.14
2023-08-22,Beijing,China,77.54,189.36,25.26,38.07,3.14,35.6,-6.2,30.56,19.67,162.38
2023-01-14,Bangkok,Thailand,102.01,168.55,63.15,14.87,5.54,12.24,21.55,60.34,14.07,175.01
2023-01-12,Madrid,Spain,23.35,116.89,28.6,37.21,4.41,172.52,-3.55,18.68,16.41,81.63
2023-03-15,Toronto,Canada,51.48,129.91,30.28,28.92,2.55,101.59,-3.3,45.74,4.69,140.35
2023-12-10,Berlin,Germany,121.74,75.99,58.06,6.96,2.99,57.31,2.59,58.98,10.07,185.2
2023-01-06,Madrid,Spain,42.26,133.44,26.4,1.38,1.05,195.9,12.06,82.63,4.56,117.65
2023-06-12,Moscow,Russia,67.54,166.44,42.13,42.89,6.77,149.67,3.12,39.71,12.94,157.22
2023-04-07,Mumbai,India,16.78,140.31,80.37,21.15,1.03,160.35,10.1,29.55,14.2,93.22
2023-11-19,Bangkok,Thailand,27.28,83.65,50.46,36.42,3.66,75.57,35.4,19.85,3.73,82.92
2023-12-10,Mumbai,India,25.11,136.46,77.07,31.36,1.18,198.32,28.42,19.5,17.77,91.32
2023-07-14,London,UK,34.89,149.08,80.77,10.37,5.53,24.62,13.11,95.19,3.51,98.93
2023-09-11,Mexico City,Mexico,17.16,65.6,43.54,26.96,1.41,40.45,38.73,96.8,12.64,61.64
2023-02-18,London,UK,49.85,27.9,16.89,25.01,7.82,56.76,19.52,38.82,13.67,136.33
2023-08-16,Bangkok,Thailand,103.23,35.12,32.97,41.72,0.5,187.81,29.08,61.1,9.75,175.64
2023-03-01,Bangkok,Thailand,49.37,187.17,24.86,30.59,0.79,77.01,17.07,17.19,1.37,135.15
2023-08-01,Dubai,UAE,91.64,15.65,31.41,42.77,5.71,65.08,16.05,66.33,19.09,169.66
2023-01-26,New York,USA,26.22,85.6,61.45,15.69,5.49,142.62,14.54,70.48,16.12,80.69
2023-06-23,Berlin,Germany,133.63,126.27,93.01,40.67,5.5,127.8,13.83,52.1,9.74,191.34
2023-01-25,Paris,France,140.71,50.51,93.19,29.45,1.32,57.5,-4.41,91.29,0.5,195.0
2023-04-16,Los Angeles,USA,149.69,129.42,50.7,44.87,4.44,158.03,15.95,68.28,12.39,199.63
2023-11-07,Moscow,Russia,82.67,196.3,59.58,34.41,8.33,123.01,25.17,36.77,13.35,165.03
2023-12-24,Dubai,UAE,128.75,117.93,46.01,15.12,1.87,23.71,1.06,62.24,12.94,188.82
2023-12-01,Sydney,Australia,112.67,108.11,74.08,9.16,2.76,128.82,17.22,47.86,10.13,180.52
2023-12-13,Paris,France,75.18,117.38,70.36,15.79,0.37,130.34,0.94,71.66,19.31,161.16
2023-11-22,Mexico City,Mexico,135.45,162.87,70.81,45.69,1.82,97.88,26.0,42.51,15.58,192.28
2023-03-06,Berlin,Germany,33.08,89.91,38.32,4.75,5.31,85.54,33.68,77.48,18.66,95.12
2023-06-10,Mexico City,Mexico,125.75,68.55,65.3,31.17,8.67,157.27,5.29,41.83,5.51,187.27
2023-12-01,Rio de Janeiro,Brazil,51.47,118.95,21.46,24.63,4.42,194.42,20.83,27.25,16.85,140.32
